relative_path,size_bytes,human_size,extension,channel,sha256
00_域门/来源路径保留/2026-06-15/new-chat/outputs/轻量工程回显迁移备份_20260616/本身即美_总输入口.html.bak,37181,36.3 KiB,.bak,C_RELEASE_OR_LOCAL_BACKUP,fc29d5d7bb89ff9e1798ac95a0d71d95ccd9daa00967d5b0eb077400be28cbb2
60_同步记录/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/无标题 3399-7bbb/nse-360395718674772923-838.jpg,2874446,2.7 MiB,.jpg,C_INDEX_FIRST_THEN_SELECTIVE_UPLOAD,
60_同步记录/来源路径保留/2026-06-03/notion-3-crv/本身即美/本身即美｜建设平台（总根）/无标题 3399-7bbb/nse-5401848676548735946-839.jpg,2405915,2.3 MiB,.jpg,C_INDEX_FIRST_THEN_SELECTIVE_UPLOAD,
